Task,Accuracy,Precision,Recall,F1,AUC
Task 1 — BRFSS 2015,69.82,33.67,78.69,47.16,0.8062
Task 2 — BRFSS 2019,69.84,34.77,77.64,48.03,0.8029
Task 3 — BRFSS 2023,70.68,34.08,76.0,47.05,0.8019
