Stage,Task 1 — BRFSS 2015,Task 2 — BRFSS 2019,Task 3 — BRFSS 2023
After Task 1,74.3,74.3,76.1
After Task 2,74.04,73.94,75.8
After Task 3,72.14,72.05,72.48
