Task,Accuracy,Precision,Recall,F1,AUC
Task 1 — BRFSS 2015,72.82,35.12,69.43,46.65,0.7889
Task 2 — BRFSS 2019,72.94,36.31,67.24,47.16,0.7864
Task 3 — BRFSS 2023,72.94,35.04,67.74,46.19,0.7882
