Task,Accuracy,Precision,Recall,F1,AUC
Task 1 — BRFSS 2015,83.82,59.94,16.58,25.97,0.8054
Task 2 — BRFSS 2019,83.09,60.85,16.22,25.62,0.8028
Task 3 — BRFSS 2023,83.73,59.53,15.92,25.12,0.8031
