Stage,Task 1 — BRFSS 2015,Task 2 — BRFSS 2019,Task 3 — BRFSS 2023
After Task 1,72.84,72.96,75.45
After Task 2,73.94,73.99,76.18
After Task 3,74.22,74.47,75.28
