Task,Accuracy,Precision,Recall,F1,AUC
Task 1 — BRFSS 2015,81.91,43.53,53.25,47.9,0.8227
Task 2 — BRFSS 2019,81.58,45.4,53.11,48.96,0.8197
Task 3 — BRFSS 2023,81.64,45.23,50.88,47.89,0.8145
