Task,Accuracy,Precision,Recall,F1,AUC
Task 1 — BRFSS 2015,83.47,44.73,51.44,47.85,0.8319
Task 2 — BRFSS 2019,82.94,46.76,50.25,48.44,0.8282
Task 3 — BRFSS 2023,82.75,47.1,48.62,47.85,0.8216
