Task,Accuracy,Precision,Recall,F1,AUC
Task 1 — BRFSS 2015,82.45,42.81,56.8,48.83,0.833
Task 2 — BRFSS 2019,81.83,44.46,55.91,49.53,0.8279
Task 3 — BRFSS 2023,81.55,44.45,53.44,48.53,0.8188
