Task,Accuracy,Precision,Recall,F1,AUC
Task 1 — BRFSS 2015,83.26,46.41,46.43,46.42,0.8232
Task 2 — BRFSS 2019,82.78,48.17,46.19,47.16,0.8197
Task 3 — BRFSS 2023,82.56,47.2,43.67,45.37,0.814
