Task,Accuracy,Precision,Recall,F1,AUC
Task 1 — BRFSS 2015,83.91,45.76,49.46,47.54,0.8319
Task 2 — BRFSS 2019,83.09,47.06,48.34,47.69,0.8273
Task 3 — BRFSS 2023,82.78,47.06,46.07,46.56,0.8178
