Task,Accuracy,Precision,Recall,F1,AUC
Task 1 — BRFSS 2015,84.86,45.19,12.51,19.6,0.7357
Task 2 — BRFSS 2019,83.79,46.74,11.9,18.97,0.7262
Task 3 — BRFSS 2023,83.19,43.32,10.53,16.94,0.7194
